INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (1, 1, 3, 77.97, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (2, 2, 2, 79.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (3, 3, 5, 74.95, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (4, 4, 1, 199.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (5, 5, 4, 199.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (6, 6, 3, 239.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (7, 7, 2, 199.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (8, 8, 1, 149.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (9, 9, 3, 77.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (10, 10, 4, 199.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (11, 11, 2, 139.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (12, 12, 1, 119.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (13, 13, 5, 74.95, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (14, 14, 4, 119.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (15, 15, 3, 119.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (16, 16, 2, 139.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (17, 17, 1, 249.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (18, 18, 3, 77.97, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (19, 19, 2, 159.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (20, 20, 1, 199.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (21, 21, 3, 77.97, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (22, 22, 4, 199.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (23, 23, 2, 199.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (24, 24, 1, 129.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (25, 1, 3, 77.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (26, 2, 2, 79.98, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (27, 3, 5, 74.95, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (28, 4, 1, 199.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (29, 5, 4, 199.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (30, 6, 3, 239.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (31, 7, 2, 199.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (32, 8, 1, 149.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (33, 9, 3, 77.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (34, 10, 4, 199.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (35, 11, 2, 139.98, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (36, 12, 1, 119.99, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (37, 13, 5, 74.95, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (38, 14, 4, 119.96, 'Entregado');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (39, 15, 3, 119.97, 'En Proceso');
INSERT INTO compra_articulo (id_compra, id_cliente, cantidad, precio_total, estado)
VALUES (40, 16, 2, 139.98, 'Entregado');
